2026-04-07 00:02:10,274 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,276 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,277 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,299 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,300 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,301 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,302 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:10,307 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,308 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,308 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,324 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,326 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,326 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,327 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:10,332 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,333 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,333 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,349 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,350 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,351 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,352 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:10,356 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,357 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,358 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,370 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,371 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,372 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,373 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:10,377 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,379 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,379 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,393 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,394 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,395 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,396 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:10,401 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,402 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,402 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,417 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,418 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,419 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,419 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:10,423 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,424 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,425 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,437 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,439 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,440 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,440 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:10,443 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,444 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,445 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,459 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,460 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,461 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,461 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:10,465 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,466 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,466 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,485 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,487 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,487 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,488 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:10,494 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,495 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,495 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,512 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,513 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,514 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,515 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:10,521 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,523 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,524 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,540 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,541 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,542 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,542 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
